BEGIN_YEAR;EXPOSURE;PREMIUM_FREQUENCY;SEX;ENGINE;POWER_RANGE;KIND_OF_PAYMENT;CLAIM_AMOUNT;CLAIM_COUNT
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;101-120;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;DIE;121-140;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;2;1;DIE;81-100;cash;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;4;1;DIE;101-120;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;0;DIE;81-100;cash;0;0
2009;1;1;1;DIE;61-80;cash;0;0
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;1;0;BEN;0-60;cash;0;0
2009;1;1;1;DIE;101-120;transfer;3746,39;1
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;61-80;transfer;0;0
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;0;BEN;0-60;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;1;0;DIE;0-60;cash;0;0
2009;1;1;0;DIE;81-100;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;0-60;cash;1320;1
2009;1;4;0;BEN;81-100;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;0;BEN;0-60;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;61-80;cash;2649,43;1
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;4;0;BEN;0-60;cash;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;1;DIE;61-80;transfer;7434,05;1
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;1;1;DIE;101-120;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;0;DIE;121-140;cash;0;0
2009;1;2;0;BEN;61-80;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;DIE;121-140;cash;4342,27;1
2009;1;1;0;BEN;0-60;transfer;0;0
2009;1;2;1;DIE;101-120;cash;0;0
2009;1;2;0;DIE;81-100;cash;0;0
2009;1;1;1;BEN;61-80;transfer;0;0
2009;1;2;1;BEN;81-100;transfer;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;4;1;BEN;81-100;cash;525,32;1
2009;1;1;0;BEN;81-100;cash;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;0,5;2;1;BEN;121-140;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;0-60;transfer;1630;1
2009;0,75;4;1;BEN;141-160;cash;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;2;1;DIE;121-140;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;2;0;BEN;0-60;cash;420;1
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;4;1;BEN;101-120;transfer;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;81-100;transfer;0;0
2009;1;2;0;BEN;61-80;cash;0;0
2009;1;1;1;DIE;101-120;transfer;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;2;1;DIE;101-120;transfer;0;0
2009;1;2;1;BEN;81-100;cash;1020;1
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;1;DIE;101-120;transfer;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;2;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;1;BEN;0-60;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;2;0;BEN;0-60;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;0;BEN;61-80;transfer;0;0
2009;1;2;1;DIE;101-120;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;0;BEN;101-120;cash;0;0
2009;1;2;0;BEN;61-80;cash;0;0
2009;1;1;1;BEN;121-140;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;0;BEN;0-60;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;0;DIE;101-120;cash;0;0
2009;1;2;1;BEN;101-120;transfer;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;2;1;DIE;121-140;transfer;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;1;1;1;BEN;121-140;cash;0;0
2009;1;2;1;BEN;121-140;transfer;0;0
2009;1;1;0;BEN;81-100;cash;0;0
2009;1;1;1;DIE;61-80;transfer;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;4;1;DIE;101-120;cash;8242,51;2
2009;1;1;1;BEN;81-100;cash;0;0
2009;0,75;4;1;BEN;81-100;cash;0;0
2009;1;1;0;BEN;81-100;cash;0;0
2009;1;2;1;BEN;0-60;transfer;0;0
2009;1;4;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;2;1;DIE;61-80;cash;0;0
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
